y_test,y_pred
63,65.95280543359058
81,60.9271336607685
40,48.49484991887026
53,54.64608890188251
2,4.840679867185639
96,100.332136475768
48,37.113713653572695
22,22.511468039647248
6,4.7069243646248236
78,74.92626837641569
31,38.86462149361185
33,37.31372853141988
35,31.26930622000708
36,22.28677527859259
59,56.504663315599934
109,85.3145170161171
84,57.424756724284286
39,41.43417217699665
4,7.570338370015637
286,267.37487656463816
43,18.8335886699904
329,317.727066986205
51,55.77119739797341
67,73.91804110576098
5,6.977134712441154
54,55.361043086465294
14,13.997079708147222
10,8.738174129413585
37,42.55808250595441
34,40.27088395109055
6,6.702244924223036
200,203.2787431117094
29,31.91635844553856
331,373.27110376504305
101,92.07405062207766
41,55.49137393959867
32,35.930813003629225
54,32.98384846011439
455,465.48531300265597
263,202.61489104893909
15,16.102847664501418
20,11.766407884904355
13,11.70939580151647
10,5.841504615771117
38,29.314711435508617
0,27.253944530600965
421,417.027617259649
393,321.22420713028254
76,85.5796534976679
51,65.6753418017767
23,20.094927153093124
256,269.49004888380955
34,43.03169213222756
57,53.86329621157168
60,56.3791955897734
26,28.648867827228273
0,25.5403197848309
41,23.627615383608862
27,26.794186562695042
56,46.776621741325144
180,228.3473271410876
250,250.89780216627503
81,65.78202777034554
46,38.037674739737284
50,51.287269261937816
49,48.68890631890225
50,43.93674209340354
47,57.00440762617795
96,83.37284868648534
22,13.936264901640943
29,34.252071407205776
419,344.655731924738
20,22.773791238434015
230,247.7692932604448
5,2.4412807019800984
44,27.66322648240863
20,24.44847822546289
0,25.521302604603722
298,288.5347603314339
46,49.3203417124339
247,222.71777636281396
227,186.39445190922504
50,49.439581409197395
33,24.847363325941014
93,102.943938032778
240,248.25649216482392
203,244.94790320301763
18,16.42964230295315
4,8.438481162064678
64,41.84073141615908
6,9.158836691587787
72,72.107521985893
8,6.896269330772707
42,40.183495905619544
0,17.586051961351195
739,689.6700915796356
15,14.70856003646278
7,5.210345056641282
12,14.339362055124901
39,19.139429090777753
47,46.660981141220674
5,1.9139779673657928
44,39.97100453965668
9,7.488159582199381
358,423.3029764400523
0,17.97120345414457
12,11.514314509598965
0,51.67937873215814
33,25.338731546156357
103,112.75028390218846
0,26.5043815591402
121,113.04654601320894
312,304.6692837494952
506,457.3055711149785
52,41.303853636964476
10,17.437649380341416
89,71.77504426405679
73,51.741816374114414
12,10.417642006786874
33,37.08397340647171
72,63.7538504810965
69,62.03779289744349
214,195.34777277604772
300,234.18300274140296
5,6.253834559192308
144,189.2131133878677
34,32.895704206334834
64,66.87793537331086
43,28.28310467074975
47,54.99019563780719
54,74.36433990028895
19,24.1339413019239
0,13.11158050193855
266,271.03807910499717
66,84.09942297530903
0,35.84562336864515
35,38.17934855395055
35,37.56307937370139
5,6.547758446965555
38,33.69397905072494
710,702.1823509483926
41,37.54092420929746
0,33.75213828415467
27,31.92410787774839
37,37.980846184469186
13,10.653827596670421
63,52.72002617590852
58,68.72836488829819
57,72.41533887573533
88,59.029883941789016
37,37.06293150020558
279,228.31102386674414
67,60.32797406204077
209,247.33942478398026
55,55.01323100833349
11,18.0959181234971
84,66.63982821570171
321,371.8109726830898
104,79.08829087564801
440,411.47557753331273
10,7.85416587617144
60,68.28500019100822
10,14.891385623956337
10,15.435977580641131
70,56.90870350518344
36,35.42791957949859
22,14.247541588630222
20,21.88122152797531
3,3.669495742131812
64,59.81013930266949
59,68.03275635003355
59,62.33714294767763
8,4.852870919687667
9,8.583590012001348
676,889.1245078062341
13,5.54870367079061
29,28.446862094353282
76,86.32823472202705
54,47.255502257183
475,472.39540968534357
69,56.736818560056655
8,11.478478276348135
36,34.94818942402252
59,60.3904800338736
39,21.556085416869944
42,50.82203657422369
26,28.613013959898208
102,82.97861647823234
65,60.20919396639854
307,315.0066204403595
0,21.76006352798199
93,72.96957180890026
30,28.539605157000732
101,66.66205972988644
58,46.983548415109816
156,104.83899323957932
0,27.411859792933885
28,25.192667950707953
31,33.209733954661516
10,6.612935038672119
38,37.88806672064644
4,6.345200843715404
37,40.56304907487055
324,242.2800273538791
89,65.9698123173941
66,81.74821480929411
5,5.216517287541907
19,14.992089024015552
40,20.667297543956025
60,45.48561270248811
77,86.99029019441295
18,12.478870589687439
61,67.05040536643162
272,275.17646938461667
26,10.545113214610202
57,64.86582306403501
38,55.284126678592216
0,32.159506228402066
28,28.31572250725886
93,76.88398215936054
22,24.862565750248226
8,20.489633300450635
81,83.1649246164958
801,532.0682790426246
16,10.663184167123022
63,83.62292518259531
3,8.6501430901594
232,243.07648497598115
20,17.141356438198162
4,6.436649985714579
53,50.204342292485954
2,3.8732508224210442
59,57.9747936532143
