y_test,y_pred
151354.78,134285.0573983022
174706.86,152677.17654728625
120642.43,117828.11098167839
156160.53,137894.74889700385
92001.98,106063.30959442159
192447.47,200490.6321636357
119604.73,75886.32735241471
47481.07,53876.12880676926
135187.43,117846.94674033916
130269.86,148736.01346175204
76524.1,76616.06674792411
96753.76,92926.36351477412
73743.67,78113.28054840905
78486.75,43678.08039783994
116778.13,114276.2584235588
168252.3,167636.47017842464
131803.94,117474.5581126416
104902.11,102965.39736243841
106617.61,126450.00448099701
516122.62,523382.6557641905
72557.41,39946.205264966586
619073.4,624706.2119517745
131241.77,141956.8123601772
156032.46,143420.55951370613
136729.35,134052.86390686058
113445.13,110555.19352612355
33447.85,32159.460509014687
154029.83,139756.75789006677
82522.7,85827.88597768334
71176.28,74877.09286378647
111024.04,117606.62962405031
402874.84,393956.5398600232
76579.28,80610.24049491175
758861.93,747800.8155976447
182819.7,184125.90102418064
107216.91,111015.23949861719
91298.83,90271.50235792105
82026.08,64123.378334899746
854033.73,893715.6753481934
412242.21,398954.22743020026
39046.32,33826.81422684422
40714.29,23038.328972541134
195573.34,184088.38370057888
144705.04,126271.28768607153
79771.26,71574.51637492151
0.0,57837.95053954114
848390.5,814337.7329950278
611033.54,627647.1139609051
164671.35,165996.6975218007
112678.68,132745.96468996024
50590.7,45710.710107625986
522524.24,535617.9503868051
90514.23,86320.77576641167
144437.6,136335.43846363277
115642.64,109403.61767222502
76317.78,72175.05910460837
0.0,48829.92019480579
72936.16,46302.71752087398
70529.57,67966.87911995423
91125.56,93933.43402082007
444580.05,445218.76631378144
490804.37,496739.5391548577
163242.76,165111.52975865104
69150.62,74884.41823667345
101462.48,103633.63545564949
120238.52,122704.24927238758
113631.66,107902.1309361723
110640.47,111233.12616275434
170366.98,165444.76526796425
36533.12,31529.260664816215
87833.53,83675.17822663847
677995.11,674286.6552725327
40493.66,41404.10030368768
499752.88,482731.1302687214
87467.05,103152.81374270897
72754.45,55402.52887561182
46844.46,52279.82039132909
0.0,50821.59230389176
561066.47,569419.6484343163
110855.31,103743.72940109971
416136.6,444132.1860736643
380027.38,372412.7157311291
83194.33,86191.98594991615
50370.83,51225.84387696262
198441.79,208644.11328185227
484901.65,491826.4376037714
479678.52,473137.48208916385
47450.64,35494.708104198864
152083.58,137773.28361555526
326446.51,86303.96706770934
172570.39,182508.52074694898
156958.32,144548.62785678662
132321.12,152000.86910697035
108521.94,100725.16669314966
0.0,35230.50683388909
1409139.48,1344473.97231635
24485.64,30673.050043502055
116788.47,124694.76653721622
31617.56,30368.05177110696
61819.31,40895.48155718849
95740.09,91245.22209512495
58372.71,74489.24596957164
100031.19,98402.60256062633
